Region	Population
01001	55,869
01003	223,234
01005	24,686
01007	22,394
01009	57,826
01011	10,101
01013	19,448
01015	113,605
01017	33,254
01019	26,196
01021	44,428
01023	12,589
01025	23,622
01027	13,235
01029	14,910
01031	52,342
01033	55,241
01035	12,067
01037	10,663
01039	37,049
01041	13,772
01043	83,768
01045	49,172
01047	37,196
01049	71,513
01051	81,209
01053	36,633
01055	102,268
01057	16,302
01059	31,362
01061	26,271
01063	8,111
01065	14,651
01067	17,205
01069	105,882
01071	51,626
01073	658,573
01075	13,805
01077	92,729
01079	32,924
01081	164,542
01083	98,915
01085	9,726
01087	18,068
01089	372,909
01091	18,863
01093	29,709
01095	96,774
01097	413,210
01099	20,733
01101	226,486
01103	119,679
01105	8,923
01107	19,930
01109	33,114
01111	22,722
01113	57,961
01115	89,512
01117	217,702
01119	12,427
01121	79,978
01123	40,367
01125	209,355
01127	63,521
01129	16,326
01131	10,373
01133	23,629
02013	3,337
02016	5,634
02020	288,000
02050	18,386
02060	836
02068	2,097
02070	4,916
02090	96,849
02100	2,530
02105	2,148
02110	31,974
02122	58,708
02130	13,901
02150	12,998
02270	8,314
02164	1,592
02170	108,317
02180	10,004
02185	9,832
02188	7,621
02195	3,266
02198	6,203
02220	8,493
02230	1,183
02240	6,893
02261	9,202
02275	2,502
02282	579
02290	5,230
04001	71,887
04003	125,922
04005	143,476
04007	54,018
04009	38,837
04011	9,498
04012	21,108
04013	4,485,414
04015	212,181
04017	110,924
04019	1,047,279
04021	462,789
04023	46,498
04025	235,099
04027	213,787
05001	17,486
05003	19,657
05005	41,932
05007	279,141
05009	37,432
05011	10,763
05013	5,189
05015	28,380
05017	10,118
05019	22,320
05021	14,551
05023	24,919
05025	7,956
05027	23,457
05029	20,846
05031	110,332
05033	63,257
05035	47,955
05037	16,419
05039	7,009
05041	11,361
05043	18,219
05045	126,007
05047	17,715
05049	12,477
05051	99,386
05053	18,265
05055	45,325
05057	21,532
05059	33,771
05061	13,202
05063	37,825
05065	13,629
05067	16,719
05069	66,824
05071	26,578
05073	6,624
05075	16,406
05077	8,857
05079	13,024
05081	12,259
05083	21,466
05085	73,309
05087	16,576
05089	16,694
05091	43,257
05093	40,651
05095	6,701
05097	8,986
05099	8,252
05101	7,753
05103	23,382
05105	10,455
05107	17,782
05109	10,718
05111	23,528
05113	19,964
05115	64,072
05117	8,062
05119	391,911
05121	17,958
05123	24,994
05125	122,437
05127	10,281
05129	7,881
05131	127,827
05133	17,007
05135	17,442
05137	12,506
05139	38,682
05141	16,545
05143	239,187
05145	78,753
05147	6,320
05149	21,341
06001	1,671,329
06003	1,129
06005	39,752
06007	219,186
06009	45,905
06011	21,547
06013	1,153,526
06015	27,812
06017	192,843
06019	999,101
06021	28,393
06023	135,558
06025	181,215
06027	18,039
06029	900,202
06031	152,940
06033	64,386
06035	30,573
06037	10,039,107
06039	157,327
06041	258,826
06043	17,203
06045	86,749
06047	277,680
06049	8,841
06051	14,444
06053	434,061
06055	137,744
06057	99,755
06059	3,175,692
06061	398,329
06063	18,807
06065	2,470,546
06067	1,552,058
06069	62,808
06071	2,180,085
06073	3,338,330
06075	881,549
06077	762,148
06079	283,111
06081	766,573
06083	446,499
06085	1,927,852
06087	273,213
06089	180,080
06091	3,005
06093	43,539
06095	447,643
06097	494,336
06099	550,660
06101	96,971
06103	65,084
06105	12,285
06107	466,195
06109	54,478
06111	846,006
06113	220,500
06115	78,668
08001	517,421
08003	16,233
08005	656,590
08007	14,029
08009	3,581
08011	5,577
08013	326,196
08014	70,465
08015	20,356
08017	1,831
08019	9,700
08021	8,205
08023	3,887
08025	6,061
08027	5,068
08029	31,162
08031	727,211
08033	2,055
08035	351,154
08037	55,127
08039	26,729
08041	720,403
08043	47,839
08045	60,061
08047	6,243
08049	15,734
08051	17,462
08053	820
08055	6,897
08057	1,392
08059	582,881
08061	1,406
08063	7,097
08065	8,127
08067	56,221
08069	356,899
08071	14,506
08073	5,701
08075	22,409
08077	154,210
08079	769
08081	13,283
08083	26,183
08085	42,758
08087	29,068
08089	18,278
08091	4,952
08093	18,845
08095	4,265
08097	17,767
08099	12,172
08101	168,424
08103	6,324
08105	11,267
08107	25,638
08109	6,824
08111	728
08113	8,179
08115	2,248
08117	31,011
08119	25,388
08121	4,908
08123	324,492
08125	10,019
09001	943,332
09003	891,720
09005	180,333
09007	162,436
09009	854,757
09011	265,206
09013	150,721
09015	116,782
10001	180,786
10003	558,753
10005	234,225
11001	705,749
12001	269,043
12003	29,210
12005	174,705
12007	28,201
12009	601,942
12011	1,952,778
12013	14,105
12015	188,910
12017	149,657
12019	219,252
12021	384,902
12023	71,686
12027	38,001
12029	16,826
12031	957,755
12033	318,316
12035	115,081
12037	12,125
12039	45,660
12041	18,582
12043	13,811
12045	13,639
12047	14,428
12049	26,937
12051	42,022
12053	193,920
12055	106,221
12057	1,471,968
12059	19,617
12061	159,923
12063	46,414
12065	14,246
12067	8,422
12069	367,118
12071	770,577
12073	293,582
12075	41,503
12077	8,354
12079	18,493
12081	403,253
12083	365,579
12085	161,000
12086	2,716,940
12087	74,228
12089	88,625
12091	210,738
12093	42,168
12095	1,393,452
12097	375,751
12099	1,496,770
12101	553,947
12103	974,996
12105	724,777
12107	74,521
12109	264,672
12111	328,297
12113	184,313
12115	433,742
12117	471,826
12119	132,420
12121	44,417
12123	21,569
12125	15,237
12127	553,284
12129	33,739
12131	74,071
12133	25,473
13001	18,386
13003	8,165
13005	11,164
13007	3,038
13009	44,890
13011	19,234
13013	83,240
13015	107,738
13017	16,700
13019	19,397
13021	153,159
13023	12,873
13025	19,109
13027	15,457
13029	39,627
13031	79,608
13033	22,383
13035	24,936
13037	6,189
13039	54,666
13043	10,803
13045	119,992
13047	67,580
13049	13,392
13051	289,430
13053	10,907
13055	24,789
13057	258,773
13059	128,331
13061	2,834
13063	292,256
13065	6,618
13067	760,141
13069	43,273
13071	45,600
13073	156,714
13075	17,270
13077	148,509
13079	12,404
13081	22,372
13083	16,116
13085	26,108
13087	26,404
13089	759,297
13091	20,605
13093	13,390
13095	87,956
13097	146,343
13099	10,190
13101	4,006
13103	64,296
13105	19,194
13107	22,646
13109	10,654
13111	26,188
13113	114,421
13115	98,498
13117	244,252
13119	23,349
13121	1,063,937
13123	31,369
13125	2,971
13127	85,292
13129	57,963
13131	24,633
13133	18,324
13135	936,250
13137	45,328
13139	204,441
13141	8,457
13143	29,792
13145	35,236
13147	26,205
13149	11,923
13151	234,561
13153	157,863
13155	9,416
13157	72,977
13159	14,219
13161	15,115
13163	15,362
13165	8,676
13167	9,643
13169	28,735
13171	19,077
13173	10,423
13175	47,546
13177	29,992
13179	61,435
13181	7,921
13183	19,559
13185	117,406
13187	33,610
13189	21,312
13191	14,378
13193	12,947
13195	29,880
13197	8,359
13199	21,167
13201	5,718
13205	21,863
13207	27,578
13209	9,172
13211	19,276
13213	40,096
13215	195,769
13217	111,744
13219	40,280
13221	15,259
13223	168,667
13225	27,546
13227	32,591
13229	19,465
13231	18,962
13233	42,613
13235	11,137
13237	22,119
13239	2,299
13241	17,137
13243	6,778
13245	202,518
13247	90,896
13249	5,257
13251	13,966
13253	8,090
13255	66,703
13257	25,925
13259	6,621
13261	29,524
13263	6,195
13265	1,537
13267	25,286
13269	8,020
13271	15,860
13273	8,531
13275	44,451
13277	40,644
13279	26,830
13281	12,037
13283	6,901
13285	69,922
13287	7,985
13289	8,120
13291	24,511
13293	26,320
13295	69,761
13297	94,593
13299	35,734
13301	5,254
13303	20,374
13305	29,927
13307	2,607
13309	7,855
13311	30,798
13313	104,628
13315	8,635
13317	9,777
13319	8,954
13321	20,247
15001	201,513
15003	974,563
15005	86
15007	72,293
15009	167,417
16001	481,587
16003	4,294
16005	87,808
16007	6,125
16009	9,298
16011	46,811
16013	23,021
16015	7,831
16017	45,739
16019	119,062
16021	12,245
16023	2,597
16025	1,106
16027	229,849
16029	7,155
16031	24,030
16033	845
16035	8,756
16037	4,315
16039	27,511
16041	13,876
16043	13,099
16045	18,112
16047	15,179
16049	16,667
16051	29,871
16053	24,412
16055	165,697
16057	40,108
16059	8,027
16061	3,838
16063	5,366
16065	39,907
16067	21,039
16069	40,408
16071	4,531
16073	11,823
16075	23,951
16077	7,681
16079	12,882
16081	12,142
16083	86,878
16085	11,392
16087	10,194
17001	65,435
17003	5,761
17005	16,426
17007	53,544
17009	6,578
17011	32,628
17013	4,739
17015	14,305
17017	12,147
17019	209,689
17021	32,304
17023	15,441
17025	13,184
17027	37,562
17029	50,621
17031	5,150,233
17033	18,667
17035	10,766
17037	104,897
17039	15,638
17041	19,465
17043	922,921
17045	17,161
17047	6,395
17049	34,008
17051	21,336
17053	12,961
17055	38,469
17057	34,340
17059	4,828
17061	12,969
17063	51,054
17065	8,116
17067	17,708
17069	3,821
17071	6,646
17073	48,913
17075	27,114
17077	56,750
17079	9,610
17081	37,684
17083	21,773
17085	21,235
17087	12,417
17089	532,403
17091	109,862
17093	128,990
17095	49,699
17097	696,535
17099	108,669
17101	15,678
17103	34,096
17105	35,648
17107	28,618
17109	29,682
17111	307,774
17113	171,517
17115	104,009
17117	44,926
17119	262,966
17121	37,205
17123	11,438
17125	13,359
17127	13,772
17129	12,196
17131	15,437
17133	34,637
17135	28,414
17137	33,658
17139	14,501
17141	50,643
17143	179,179
17145	20,916
17147	16,344
17149	15,561
17151	4,177
17153	5,335
17155	5,739
17157	31,782
17159	15,513
17161	141,879
17163	259,686
17165	23,491
17167	194,672
17169	6,768
17171	4,951
17173	21,634
17175	5,342
17177	44,498
17179	131,803
17181	16,653
17183	75,758
17185	11,520
17187	16,844
17189	13,887
17191	16,215
17193	13,537
17195	55,175
17197	690,743
17199	66,597
17201	282,572
17203	38,459
18001	35,777
18003	379,299
18005	83,779
18007	8,748
18009	11,758
18011	67,843
18013	15,092
18015	20,257
18017	37,689
18019	118,302
18021	26,225
18023	32,399
18025	10,577
18027	33,351
18029	49,458
18031	26,559
18033	43,475
18035	114,135
18037	42,736
18039	206,341
18041	23,102
18043	78,522
18045	16,346
18047	22,758
18049	19,974
18051	33,659
18053	65,769
18055	31,922
18057	338,011
18059	78,168
18061	40,515
18063	170,311
18065	47,972
18067	82,544
18069	36,520
18071	44,231
18073	33,562
18075	20,436
18077	32,308
18079	27,735
18081	158,167
18083	36,594
18085	79,456
18087	39,614
18089	485,493
18091	109,888
18093	45,370
18095	129,569
18097	964,582
18099	46,258
18101	10,255
18103	35,516
18105	148,431
18107	38,338
18109	70,489
18111	13,984
18113	47,744
18115	5,875
18117	19,646
18119	20,799
18121	16,937
18123	19,169
18125	12,389
